id,title,users_score,age_rating,first_release_date,game_engine_id
75,Star Wars: Shadows of the Empire,75,12,1996-12-03,
76,Star Wars: Yoda Stories,45,7,1997-03-01,
77,Star Wars Galaxies,74,12,2003-06-26,
78,Star Wars: Dark Forces,73,12,2009-09-16,11
79,Star Wars Jedi Knight: Dark Forces II,74,16,1997-10-10,16
80,Star Wars Jedi Knight: Jedi Academy,87,16,2003-09-17,
81,Star Wars Jedi Knight II: Jedi Outcast,84,12,2002-03-26,
82,Star Wars: X-Wing Alliance,56,12,1999-02-28,
83,Star Wars: X-Wing vs. TIE Fighter,69,12,1997-04-17,
84,Star Wars: Empire at War,87,12,2006-02-16,
85,Bonanza Bros.,63,16,2007-01-29,
86,Mega Man X: Command Mission,67,7,2004-07-29,
87,BioShock,87,18,2007-08-21,
88,Wii Sports,84,7,2006-11-19,
89,Himawari no Kyōkai to Nagai Natsuyasumi,80,7,2013-03-29,
90,GetAmped,74,16,2004-12-13,
91,Star Wars: The Force Unleashed II,73,16,2010-10-26,
92,Lego Batman: The Videogame,81,7,2008-09-23,
93,Lego Indiana Jones: The Original Adventures,77,7,2008-06-03,
94,Star Wars Knights of the Old Republic II: The Sith Lords,87,12,2004-12-06,
95,Lego Indiana Jones 2: The Adventure Continues,73,7,2009-11-17,
96,Call of Duty 4: Modern Warfare,88,16,2016-11-04,13
97,CityVille 2,66,0,2012-11-01,
98,Assassin's Creed III: Liberation,63,18,2012-10-30,
99,Picopict,79,3,2009-01-28,
100,Dragon Quest III,85,12,1996-12-06,
101,Panzer Dragoon Saga,81,12,1998-01-29,
102,Fracture,84,16,2008-10-07,
103,Tales of the Abyss,73,12,2005-12-15,
104,Grand Theft Auto: San Andreas,90,18,2012-12-11,10
105,Family Guy: Back to the Multiverse,55,18,2012-11-20,
106,Epic Mickey 2: The Power of Two,80,7,2013-09-26,
107,Warlock: Master of the Arcane,54,7,2012-05-08,
108,Arkanoid,61,12,2009-05-26,
109,Little Inferno,77,12,2012-11-18,
110,Cars 2,62,3,2014-10-06,
111,Grand Theft Auto: Vice City,89,18,2002-10-29,10
112,Grand Theft Auto IV,85,18,2009-01-04,
113,Second Life,67,16,2003-06-23,
114,Clannad,85,12,2004-04-28,
115,Chromehounds,66,12,2006-06-29,
116,Lego Batman 2: DC Super Heroes,74,7,2012-01-01,
117,Cloud,89,0,2005-10-24,
118,Chivalry: Medieval Warfare,68,18,2012-10-16,
119,The Idolmaster Cinderella Girls,68,12,2011-11-28,
120,Memories Off: Yubikiri no Kioku,62,12,2010-07-29,
121,Heavy Metal: F.A.K.K. 2,90,16,2000-08-04,
122,Guitar Hero,59,12,2005-11-08,
123,Trine,78,12,2009-07-03,26
124,Transformice,62,0,2010-05-01,1
125,Anno 2070,77,7,2011-11-17,
126,Q.U.B.E.,70,0,2011-12-17,
127,Banjo-Kazooie,85,3,1998-06-29,
128,The Ball,53,18,2010-10-26,
129,Hitman: Absolution,75,18,2014-05-15,
130,Digimon Story Lost Evolution,63,7,2010-07-01,
131,Divinity II,79,12,2009-11-20,
132,Killing Floor,69,18,2009-05-14,
133,Tales of Hearts,78,16,2008-12-18,
134,X-Men Legends II: Rise of Apocalypse,80,12,2005-09-20,
135,Halo 3,87,16,2007-09-25,
136,FIFA 12,69,3,2011-09-27,
137,FIFA 13,75,3,2012-09-25,
138,Gungrave,77,16,2002-07-18,
139,Bad Piggies,91,3,2012-09-27,
140,Excitebike,85,3,1984-11-30,
141,ZanZarah: The Hidden Portal,84,3,2015-08-20,10
142,Grand Theft Auto III,83,18,2001-10-23,10
143,Tron,75,3,2008-01-09,
144,Paper Mario,58,3,2000-08-11,
145,Fire Emblem: Shadow Dragon and the Blade of Light,81,7,1990-04-20,
146,Fire Emblem: The Sacred Stones,52,7,2015-01-01,
147,Fire Emblem: The Blazing Blade,59,7,2023-06-23,
148,Sonic Colors,81,3,2010-11-11,
149,The Incredible Hulk: Ultimate Destruction,76,16,2005-08-23,
150,The Incredible Hulk,59,16,2008-06-05,
151,The Temple of Elemental Evil,76,16,2003-09-16,
152,.kkrieger,81,16,2004-01-01,
153,James Bond 007: Nightfire,94,12,2002-11-18,
154,007 Legends,68,16,2012-10-16,13
155,James Bond 007: Everything or Nothing,54,12,2004-02-17,
156,0 A.D.,77,12,2021-02-21,
157,Sonic & Sega All-Stars Racing,74,3,2011-02-23,
158,Beyond: Two Souls,76,16,2020-06-18,
159,Dragonica,81,7,2010-01-20,
160,Hatsuyuki Sakura,73,12,2012-01-01,
161,Pirates of the Caribbean,97,12,2003-06-30,
162,Pirates of the Caribbean: Dead Man's Chest,74,7,2006-06-27,
163,1080° Snowboarding,80,3,1998-02-28,
164,Photo Kano,64,7,2012-02-02,
165,Ratchet & Clank,81,7,2002-11-04,
166,New Super Mario Bros. Wii,82,3,2009-11-11,
167,Super Mario Galaxy,87,3,2007-11-01,
168,Doki Doki Majo Shinpan!,80,12,2007-07-05,
169,Panzer Elite,79,16,1999-01-01,
170,Far Cry 2,69,16,2008-10-21,
171,Tayutama: Kiss on my Deity,75,12,2009-11-05,
172,GoldenEye: Rogue Agent,67,12,2004-11-22,
173,Heroes of Newerth,68,12,2010-05-12,
174,Amnesia: Memories,67,12,2015-08-25,
175,Da Capo III,90,7,2017-01-21,
176,The Sims 2,85,7,2004-09-16,
177,Champions of Regnum,37,12,2007-05-24,
178,TOCA Race Driver 2,74,12,2004-04-13,
179,The Sims,84,7,2003-03-12,
180,The Sims 3,81,12,2010-10-26,10
181,Zelda II: The Adventure of Link,66,3,1987-01-14,
182,Split/Second,79,12,2010-05-18,
183,RuneScape,69,12,2001-01-04,29
184,Robin Hood: The Legend of Sherwood,82,12,2002-01-01,
185,Zero Wing,66,18,2023-02-14,
186,Half-Life 2,89,18,2013-05-01,
187,Fight for Life,72,12,1996-01-15,
188,Lionheart: Legacy of the Crusader,82,16,2003-08-13,
189,Project X Zone,66,12,2012-10-11,
190,The King of Fighters 2002,59,12,2002-12-18,
191,The King of Fighters '98,68,18,1998-07-23,
192,Assassin's Creed,78,18,2008-04-08,
193,SimTown,68,0,1996-07-26,
194,Torchlight,74,12,2009-10-27,
195,DOOM 3,78,18,2004-08-03,
196,Modern Combat 2: Black Pegasus,77,18,2010-10-04,
197,Call of Duty: World at War,79,18,2008-11-11,13
198,Warcraft III: Reign of Chaos,75,12,2002-07-03,
199,Insane,81,0,2000-01-01,
200,Destiny,74,16,2014-09-09,50
201,Call of Duty 2,84,16,2006-01-01,13
202,Darwinia,54,12,2005-03-04,
203,Spore,83,12,2008-09-01,38
204,Black Mesa,87,18,2020-03-06,
205,Assassin's Creed II,89,18,2011-01-06,
206,DK: King of Swing,60,0,2005-02-04,
207,Mafia,69,18,2002-08-29,
208,The Legend of Zelda: Ocarina of Time,87,12,1998-11-21,
209,Final Fantasy VII,87,12,2019-03-26,
210,S.T.A.L.K.E.R.: Shadow of Chernobyl,85,16,2007-03-20,15
211,Super Mario 64,88,3,1996-06-23,
212,24: The Game,72,16,2006-02-28,
213,Quake,85,18,2021-08-19,69
214,Project Snowblind,54,16,2005-02-23,
215,Super Hexagon,75,12,2014-05-29,1
216,ZombiU,80,18,2012-11-18,
217,Need for Speed: Carbon,79,12,2006-10-30,38
218,Zoo Tycoon,68,0,2001-10-17,
219,Zoo Tycoon 2,65,3,2004-11-09,
220,Need for Speed: Most Wanted,89,3,2005-11-11,38
221,Age of Empires,86,12,1998-02-02,
222,Diablo,88,16,1996-12-31,
223,Hearts of Iron III,70,12,2009-06-29,
224,League of Legends,73,12,2009-10-27,
225,Final Fantasy X,88,12,2001-07-19,
226,Half-Life 2: Lost Coast,69,16,2005-10-27,
227,SameGame,67,12,2009-03-23,
228,Professor Layton and the Unwound Future,68,7,2020-07-13,
229,Kingdom Hearts,88,7,2002-03-28,
230,Torchlight II,77,12,2019-09-03,
231,Fate,81,16,2005-05-18,
232,Fate: Undiscovered Realms,37,16,2008-07-17,
233,3D Dot Game Heroes,75,7,2009-11-05,
234,Clubhouse Games,70,12,2007-04-19,
235,Futurama,65,12,2003-08-01,
236,Crysis,80,16,2007-11-13,
237,Hitman: Blood Money,86,18,2006-05-26,
238,Archlord,81,12,2005-03-01,10
239,Diablo III,82,16,2012-05-15,
240,Diablo II,88,16,2000-06-28,
241,Final Fantasy VIII,86,16,1999-02-11,
242,The Darkness II,74,18,2012-02-07,48
243,Dynasty Warriors 5,72,16,2005-02-24,
244,Need for Speed: Underground,87,3,2003-11-17,38
245,Metal Gear Solid 3: Snake Eater,87,16,2004-11-17,
246,Rocksmith,84,12,2012-10-16,
247,Dwarf Fortress,86,18,2022-12-06,
248,V-Rally 3,76,12,2002-06-21,
249,Unreal II: The Awakening,76,16,2003-02-03,
250,Deus Ex: Invisible War,66,16,2007-03-29,
251,Dissidia Final Fantasy,68,12,2008-12-18,
252,Yager,79,12,2003-05-23,
253,F1 2011,69,3,2011-09-20,8
254,Star Trek: Armada,54,12,2000-02-29,
255,Harry Potter and the Order of the Phoenix,70,7,2008-05-25,10
256,Close Combat: First to Fight,66,16,2005-04-06,
257,Too Human,57,16,2008-08-19,
258,The Sims Medieval,72,12,2011-03-22,
259,Knights of Honor,78,12,2005-04-20,
260,Ghost in the Shell,69,18,1997-07-17,
261,TMNT,66,12,2007-03-20,
262,One Piece: Unlimited Adventure,48,18,2008-01-22,
263,Tribal Wars,82,7,2020-11-12,
264,"Crouching Tiger, Hidden Dragon",65,12,2003-12-09,
265,The House of the Dead: Overkill,67,18,2009-02-10,
266,Alpha Protocol,71,18,2010-05-27,
267,ISS Pro Evolution,87,16,2000-06-06,
268,Still Life,75,18,2005-06-03,
269,Shiren the Wanderer,66,12,2010-02-09,
270,Luxor,90,3,2005-05-30,
271,Age of Mythology,90,12,2002-10-31,
272,Resident Evil 4,91,18,2014-02-28,
273,Catherine,83,18,2011-02-17,
274,Keyboardmania,92,7,2000-01-01,
275,Colin McRae Rally 3,91,3,2002-01-01,
276,Half-Life,88,16,2013-02-14,
277,Kingdom Hearts: Birth by Sleep,74,12,2010-01-09,
278,Need for Speed: The Run,75,7,2011-11-15,
279,Killzone: Liberation,77,16,2006-10-31,
280,TimeSplitters 2,58,16,2002-10-09,
281,Maken X,67,16,2001-06-07,
282,LittleBigPlanet,82,7,2009-11-17,
283,Legacy of Kain: Soul Reaver,82,16,1999-08-16,
284,Sonic R,56,3,1997-10-31,
285,Knuckle Heads,81,16,2024-08-15,
286,Halo: Reach,86,16,2010-09-14,
287,Hexen II,72,18,1997-08-31,
288,flOw,72,3,2006-04-14,1
289,Syphon Filter: The Omega Strain,73,16,2004-05-04,
290,Ef: A Fairy Tale of the Two,79,18,2006-12-22,
291,4x4 EVO 2,70,0,2003-11-04,
292,NBA Elite 11,64,3,2010-11-05,
293,The Path,70,16,2009-03-18,
294,Destroy All Humans! 2,84,18,2006-10-17,
295,De Blob,83,3,2018-06-26,
296,The Witcher,84,18,2007-10-26,
297,Spider-Man,62,3,2000-08-30,
298,Silent Hill: Downpour,77,18,2012-03-13,
299,Batman: Arkham City,88,16,2011-10-18,
300,G.I. Joe: The Rise of Cobra,82,16,2009-08-04,10
301,Super Monkey Ball,73,3,2003-10-07,
302,Space Channel 5,86,7,2003-11-18,
303,Quake 4,67,18,2005-10-18,
304,Legends of Wrestling II,85,7,2002-11-25,
305,Ilomilo,73,3,2010-11-08,
306,APB: All Points Bulletin,70,18,2010-06-29,
307,ARMA 2,88,16,2009-06-17,18
308,Shattered Union,61,12,2006-10-25,
309,New Super Mario Bros.,83,3,2006-05-15,
310,Costume Quest,69,7,2010-10-19,
311,BioShock 2,81,18,2010-02-09,
312,Lords of the Realm III,80,12,2004-03-17,
313,Empire Earth II,74,12,2005-04-26,
314,Deepolis,82,7,2008-01-01,
315,Eden*,68,7,2015-01-30,
316,GrimGrimoire,90,7,2007-04-12,
317,Call of Duty 3,76,16,2007-03-23,20
318,Killer7,86,18,2005-06-09,10
319,Luxor 2,81,0,2008-01-15,
320,Luxor 3,91,0,2008-11-11,
321,Tomb Raider,81,12,1996-10-25,
322,Dishonored,88,18,2012-10-09,
323,Titan Quest,78,12,2006-06-26,
324,Final Fantasy XII,82,16,2006-03-16,
325,Terraria,82,12,2011-05-17,
326,PlanetSide 2,59,16,2012-11-20,
327,MicroBot,72,7,2010-12-29,
328,Soul Sacrifice,68,16,2013-03-07,
329,Tales of Destiny,74,12,2008-01-31,
330,EVE Online,67,12,2003-05-06,
331,Far Cry,78,16,2004-03-23,
332,Mushihimesama,97,7,2015-11-12,
333,Street Fighter X Tekken,66,12,2012-03-06,
334,Incubation: Time Is Running Out,67,16,1997-09-30,
335,Blast Corps,67,0,1997-03-21,
336,Dragon Quest Swords,55,7,2008-02-19,
337,Asphalt 5,90,3,2009-11-02,
338,Ace Combat X: Skies of Deception,72,12,2006-10-24,
339,ActRaiser,74,7,2007-03-27,
340,Act of War: Direct Action,74,16,2005-03-15,
341,Tron: Evolution,66,12,2010-11-26,
342,Homefront,59,18,2011-03-15,
343,Turok,70,16,2008-02-05,
344,Diggles: The Myth of Fenris,73,12,2001-09-27,
345,Dominions II: The Ascension Wars,56,12,2003-11-14,
346,Starlancer,74,12,2000-03-31,
347,Dirge of Cerberus: Final Fantasy VII,69,16,2006-01-26,
348,The Conduit,67,16,2009-06-23,
349,GoldenEye 007,75,12,1997-08-23,
350,The Legend of Zelda: A Link to the Past,87,7,1991-11-21,
351,Resistance: Fall of Man,81,18,2006-11-11,
352,GunBound,73,7,2007-09-27,
353,The Lord of the Rings: The Third Age,85,7,2004-11-02,
354,Sid Meier's Alpha Centauri,63,12,2000-03-16,
355,Endless Ocean 2: Adventures of the Deep,58,7,2010-02-05,
356,Romance of the Three Kingdoms VII,88,12,2000-02-18,
357,Bloody Roar 4,82,12,2004-05-27,10
358,LostMagic,55,7,2006-01-19,
359,Outtrigger,70,12,2001-07-24,
360,Disney's Hercules,57,3,1997-06-20,
361,X-Squad,64,3,2000-08-03,
362,Soldier of Fortune II: Double Helix,72,16,2002-05-20,
363,Driver: Parallel Lines,72,18,2007-06-26,
364,Runaway 2: The Dream of the Turtle,79,12,2009-11-26,
365,Tom Clancy's Splinter Cell,84,12,2002-11-17,
366,Super Dimension Fortress Macross,44,16,2003-10-23,
367,Trials Evolution,82,12,2012-04-18,
368,Shatter,63,3,2009-07-23,5
369,Carmageddon,59,12,2013-05-10,35
370,Enslaved: Odyssey to the West,80,16,2010-10-05,
371,Advent Rising,76,12,2006-09-14,
372,Asheron's Call,73,12,1999-11-02,
373,Call of Duty: Black Ops II,79,18,2017-04-11,13
374,Team Fortress 2,74,16,2007-10-10,
375,POD,72,0,1997-02-28,
376,Marvel vs. Capcom 2: New Age of Heroes,74,12,2000-03-30,
377,Silent Hill: The Arcade,89,18,2007-07-25,
378,Microsoft Train Simulator,61,0,2001-01-01,
379,Sports Champions,67,12,2010-10-21,
380,Gon: Baku Baku Baku Baku Adventure,71,7,2012-06-14,
381,Guilty Gear Dust Strikers,73,12,2006-04-25,
382,Ōkami,73,12,2009-10-15,
383,MySims Agents,86,0,2009-09-25,
384,Bionic Commando,68,18,2009-05-19,37
385,DualPenSports,84,12,2011-06-02,
386,Imperialism,56,3,1997-08-31,
387,Warzone 2100,74,12,1999-03-26,
388,Jeremy McGrath Supercross 2000,97,0,1999-09-29,
389,Command & Conquer: Red Alert,87,12,1996-11-22,
390,Betrayal in Antara,60,12,1997-07-31,
391,Afterlife,72,0,1996-05-31,
392,Wings,70,16,2014-10-17,
393,The King of Fighters 2001,47,18,2002-03-14,
394,Club Penguin,67,12,2014-04-16,
395,Donkey Kong 3,79,0,1984-07-04,
396,Final Fantasy XIII,69,16,2015-04-10,7
397,"Sheep, Dog 'n' Wolf",74,18,2001-05-23,
398,Legendary,56,18,2008-11-04,
399,Age of Conan,70,18,2008-05-20,
400,Hour of Victory,73,18,2007-06-25,
401,Saw,69,18,2009-10-06,
402,Rise of the Argonauts,62,16,2009-01-07,
403,Age of Wonders,65,12,1999-10-31,
404,Kinect Adventures!,61,3,2010-11-04,
405,Saw II: Flesh & Blood,71,18,2010-10-19,
406,Stranglehold,75,18,2007-09-07,
407,Frontlines: Fuel of War,65,16,2008-02-25,
408,James Bond 007: Agent Under Fire,72,16,2001-11-13,
409,Lego The Hobbit,68,7,2014-04-08,
410,Game of Thrones,70,12,2012-05-15,
411,Aion,62,12,2008-11-25,
412,Airfix Dogfighter,63,12,2000-01-14,
413,Airline Tycoon,76,3,1998-08-01,
414,FIFA 11,74,3,2010-09-28,
415,Pandemonium!,65,7,1996-10-31,
416,Brain Age 2: More Training in Minutes a Day!,78,3,2005-12-29,
417,FIFA 97,67,3,1996-01-01,
418,Fate/unlimited codes,94,12,2008-06-11,10
419,Wings of War,81,12,2004-08-30,
420,NBA Live 97,97,0,1996-01-01,
421,American Conquest,74,12,2003-02-05,
422,The Need for Speed,67,3,1996-07-28,
423,Thrasher Presents Skate and Destroy,72,7,1999-09-26,
424,Excite Truck,89,7,2007-01-18,
425,KOF: Maximum Impact,67,12,2004-08-12,10
426,Bomberman Generation,76,7,2002-06-03,
427,Professor Layton and the Azran Legacy,65,7,2013-02-28,
428,The Lord of the Rings: The Return of the King,82,12,2003-10-31,
429,The Lord of the Rings: The Battle for Middle-earth,87,12,2004-12-06,14
430,The Fall: Last Days of Gaia,59,16,2004-11-15,
431,Amagami,73,12,2009-03-19,
432,Rise of Nations,80,12,2014-06-12,
433,American McGee's Alice,88,16,2000-12-05,
434,Sniper: Path of Vengeance,81,18,2002-09-19,
435,Rome: Total War,88,12,2004-09-22,
436,Need for Speed: Undercover,64,3,2008-11-18,38
437,Arcania,49,16,2010-10-14,
438,Left 4 Dead 2,82,18,2013-07-02,
439,Prototype,76,18,2009-06-09,17
440,The Legend of Zelda: The Minish Cap,88,3,2004-11-04,
441,Ragnarok Online,65,7,2002-08-31,
442,Lineage II,67,12,2003-10-01,
443,Wing Commander: Prophecy,79,12,1997-11-30,
444,London 2012,83,3,2012-06-26,
445,Ace Combat 6: Fires of Liberation,78,12,2007-10-23,
446,Steins;Gate,87,12,2009-10-15,
447,Uncharted Waters Online,35,7,2007-01-07,
448,PangYa,57,3,2004-01-01,
449,TERA,57,12,2015-05-05,
450,Anachronox,67,12,2001-06-29,
451,Counter-Strike Online,75,16,2008-07-24,
452,Dungeon Fighter Online,51,16,2016-08-09,
453,S4 League,91,12,2008-01-01,
454,Point Blank,70,18,2015-11-10,
455,Guild Wars 2,81,12,2012-08-28,
456,Ragnarok Online 2: The Gate of the World,59,12,2007-05-28,
457,Elsword,58,18,2014-07-02,
458,Call of Duty: Modern Warfare 3,76,16,2011-11-08,13
459,Call of Duty: Modern Warfare 2,85,16,2009-11-10,13
460,Anarchy Online,49,12,2001-06-27,
461,FIFA Online 2,83,16,2006-01-01,
462,Grand Chase,65,16,2003-08-01,
463,Blade & Soul,63,18,2016-01-19,
464,Crazyracing Kartrider,67,7,2004-06-01,
465,Hellgate: London,85,18,2007-10-31,
466,Ancient Domains of Mystery,65,7,2002-11-20,
467,Shattered Galaxy,85,16,2001-08-30,
468,And Yet It Moves,58,7,2010-08-27,
469,Lineage,57,12,1998-09-03,
470,Crazy Arcade,89,7,2003-01-01,
471,MapleStory DS,83,12,2010-04-15,
472,Magna Carta: Tears of Blood,61,16,2004-11-11,
473,DJMax Technika,75,3,2008-10-31,
474,Tribes 2,62,12,2001-03-30,
475,DJMax Technika 3,71,7,2011-10-27,
476,Starsiege: Tribes,53,12,1998-11-30,
477,DJMax Technika 2,69,7,2010-06-16,
478,Mu Online,74,16,2001-11-01,
479,Hunter Hunted,92,12,1996-10-31,
480,GunZ: The Duel,96,16,2009-05-01,
481,Tales of Symphonia,70,12,2003-08-29,
482,TalesRunner,67,7,2015-02-17,
483,Battlefield Online,79,16,2010-03-25,65
484,Starhorse3,96,12,2011-01-01,
485,Postal III,74,18,2011-12-21,
486,Crossfire,81,18,2007-05-03,
487,Tekken 3D: Prime Edition,87,16,2012-02-14,
488,Echo Night: Beyond,73,12,2004-01-22,
489,Company of Heroes,74,18,2006-09-11,
490,Crash: Mind over Mutant,75,7,2008-10-07,
491,Might and Magic Mobile,78,7,2004-10-19,
492,Mario Party DS,50,3,2007-11-08,
493,Silkroad Online,77,12,2005-11-11,
494,Emperor: Rise of the Middle Kingdom,85,0,2002-09-09,
495,Desert Rats vs. Afrika Korps,64,16,2004-03-31,
496,Kinect Sesame Street TV,81,3,2012-09-18,
497,MVP 06: NCAA Baseball,62,3,2006-01-18,
498,Peggle Nights,79,3,2008-09-16,
499,Die Hard Trilogy 2: Viva Las Vegas,80,18,2000-02-29,
500,Riverworld,66,7,1998-01-01,
501,Record of Agarest War Zero,54,12,2009-06-25,
502,Tribes: Ascend,61,12,2012-04-12,
503,Monster Hunter 2,81,16,2006-02-16,
504,Kingdom Under Fire: Circle of Doom,65,16,2007-12-05,
505,Rally Challenge 2000,70,3,1999-08-06,
506,Crimson Skies,63,12,2000-09-17,
507,Donkey Kong Country,88,3,1994-11-18,
508,Combat Mission: Shock Force,83,16,2007-07-27,
509,Golden Sun: Dark Dawn,76,12,2010-11-29,
510,Super Paper Mario,81,3,2007-04-09,
511,Way of the Samurai 4,74,18,2011-03-03,
512,Dragon Ball Z: Tenkaichi Tag Team,73,12,2010-09-30,
513,Perfect Dark Zero,62,16,2005-11-17,
514,Izumo,64,16,2001-12-21,
515,Jak II,82,12,2003-10-14,
516,Killzone 3,79,18,2011-02-22,
517,Shogun: Total War,88,12,2000-06-13,
518,Rhythm Heaven,80,0,2009-04-05,
519,South Park Rally,65,0,1999-11-30,
520,Last Bronx,76,16,1996-06-01,
521,I Am Alive,68,18,2012-03-07,
522,Chasm: The Rift,71,18,1997-09-30,
523,Tom Clancy's Splinter Cell: Chaos Theory,88,16,2005-03-23,
524,Jonah Lomu Rugby,77,0,1997-03-31,
525,Tech Romancer,94,12,1998-01-01,
526,WWE Raw 2,59,12,2003-09-15,
527,Battles of Prince of Persia,83,12,2005-12-06,
528,Prince of Persia: The Fallen King,86,3,2008-12-02,
529,Nightmare Creatures,66,18,1997-09-30,
530,Tenchu 2: Birth of the Stealth Assassins,58,18,2000-08-07,
531,Darkest of Days,92,16,2009-09-08,
532,NBA Street,75,12,2001-06-18,
533,Crysis 3,74,16,2013-02-19,
534,Blood Omen 2,75,18,2002-03-21,
535,Pro Evolution Soccer Management,87,0,2006-03-24,
536,Lara Croft and the Guardian of Light,69,12,2010-08-18,
537,Smash Court Tennis Pro Tournament,73,3,2002-02-07,
538,Vindictus,58,12,2012-06-22,
539,UFC 2009 Undisputed,66,12,2009-05-19,
540,Tibia,67,12,1997-01-01,
541,Captain Rainbow,68,16,2008-08-28,
542,Heart of Darkness,76,12,1998-07-31,
543,Broken Sword II: The Smoking Mirror,64,12,1997-10-17,3
544,Diddy Kong Racing,70,3,1997-11-21,
545,Twisted Edge Extreme Snowboarding,66,7,1998-11-10,
546,Boom Boom Rocket,46,0,2007-04-11,
547,Sonic Chronicles: The Dark Brotherhood,66,7,2008-09-25,
548,SimCity Creator,43,7,2008-09-19,
549,UFO: Aftermath,71,12,2003-09-16,
550,Toshinden 4,80,12,1999-08-12,
551,Red Dead Redemption,88,18,2024-10-29,
552,Neverwinter Nights,75,12,2003-06-20,
553,Harvester,73,18,1996-09-25,
554,Tales of Symphonia: Dawn of the New World,81,12,2009-11-13,
555,Resistance: Retribution,73,18,2009-03-12,
556,Gimmick!,54,3,2023-07-06,
