id,name,short_name,type,generation,release_date,company_id
69,Game & Watch series,GWS,console,2,1980-04-28,6
70,Pandora,Pandora,console,7,2010-05-01,
71,3DO,3DO,console,5,1993-10-04,94
72,Bada,Bada,console,7,2010-02-14,
73,Atari 8-bit family,A8BF,console,2,1979-11-01,57
74,Apple TV,AT,console,7,2007-01-01,1
75,i-mode,IM,console,6,1999-02-22,
76,iQue Player,IP,console,6,2003-11-17,108
77,Commodore 16,C1,computer,,1984-01-01,58
78,PC-FX,PF,computer,,1994-12-23,67
79,SG-1000,S1,console,3,1983-07-15,
80,R3000,R3000,console,4,1988-06-01,67
81,Ouya,Ouya,console,8,2013-06-25,
82,Java platform,JP,console,5,1996-01-23,
83,Sharp X68000,SX,console,4,1987-01-01,95
84,Nintendo e-Reader,NER,console,6,2001-12-01,6
85,WiiWare,WiiWare,console,7,2008-03-25,
86,FM-7,F7,console,2,1982-01-01,49
87,Neo Geo CD,NGC,console,5,1994-09-09,354
88,CP System Changer,CSC,console,5,1994-01-01,8
89,Apple II,AI,console,2,1977-06-10,1
90,DigiBLAST,DigiBLAST,console,7,2005-11-01,
91,BlackBerry Z10,BZ,console,8,2013-01-31,164
92,Windows Phone,WP,mobile,,2010-11-08,
93,Othello Multivision,OM,console,3,1983-01-01,1095
94,Classic Mac OS,CMO,computer,,1984-01-24,
95,Windows Phone 8.1,WP8,mobile,,2014-07-16,3
96,Shield Tablet,ST,console,8,2014-07-29,47
97,Windows 10 Mobile,W1M,mobile,,2015-11-20,3
98,Series 30+,S3,console,8,2013-09-01,2
99,Nvidia Shield TV,NST,console,8,2015-05-28,47
100,NES Classic Edition,NCE,console,8,2016-11-10,6
101,Xbox One X,XOX,console,8,2017-11-07,3
102,Super NES Classic Edition,SNCE,console,8,2017-09-29,6
103,Tomahawk F1,TF,console,8,2016-06-01,
104,Mega Drive Mini,MDM,console,8,2019-09-19,
105,Xbox One S,XOS,console,8,2016-01-01,
106,Xbox Series X and Series S,XSXASS,console,9,2020-11-10,3
107,Amazon Luna,AL,cloud,,2020-10-20,
108,Mega Drive Mini 2,MDM2,console,9,2022-10-27,
109,visionOS,visionOS,console,,2024-02-02,
